Id,Id2,Geography,Retirement_Income
0500000US13259,13259,"Stewart County, Georgia",260
0500000US13261,13261,"Sumter County, Georgia",1940
0500000US13263,13263,"Talbot County, Georgia",609
0500000US13265,13265,"Taliaferro County, Georgia",175
0500000US13267,13267,"Tattnall County, Georgia",1574
0500000US13269,13269,"Taylor County, Georgia",672
0500000US13271,13271,"Telfair County, Georgia",669
0500000US13273,13273,"Terrell County, Georgia",715
0500000US13275,13275,"Thomas County, Georgia",3299
0500000US13277,13277,"Tift County, Georgia",1899
0500000US13279,13279,"Toombs County, Georgia",1490
0500000US13281,13281,"Towns County, Georgia",1314
0500000US13283,13283,"Treutlen County, Georgia",477
0500000US13285,13285,"Troup County, Georgia",4217
0500000US13287,13287,"Turner County, Georgia",657
0500000US13289,13289,"Twiggs County, Georgia",695
0500000US13291,13291,"Union County, Georgia",2840
0500000US13293,13293,"Upson County, Georgia",2291
0500000US13295,13295,"Walker County, Georgia",4551
0500000US13297,13297,"Walton County, Georgia",5604
0500000US13299,13299,"Ware County, Georgia",2261
0500000US13301,13301,"Warren County, Georgia",378
0500000US13303,13303,"Washington County, Georgia",1353
0500000US13305,13305,"Wayne County, Georgia",1831
0500000US13307,13307,"Webster County, Georgia",164
0500000US13309,13309,"Wheeler County, Georgia",289
0500000US13311,13311,"White County, Georgia",2315
0500000US13313,13313,"Whitfield County, Georgia",3568
0500000US13315,13315,"Wilcox County, Georgia",470
0500000US13317,13317,"Wilkes County, Georgia",746
0500000US13319,13319,"Wilkinson County, Georgia",708
0500000US13321,13321,"Worth County, Georgia",1227
0500000US15001,15001,"Hawaii County, Hawaii",14695
0500000US15003,15003,"Honolulu County, Hawaii",72155
0500000US15005,15005,"Kalawao County, Hawaii",14
0500000US15007,15007,"Kauai County, Hawaii",4985
0500000US15009,15009,"Maui County, Hawaii",11185
0500000US16001,16001,"Ada County, Idaho",26207
0500000US16003,16003,"Adams County, Idaho",408
0500000US16005,16005,"Bannock County, Idaho",5588
0500000US16007,16007,"Bear Lake County, Idaho",611
0500000US16009,16009,"Benewah County, Idaho",841
0500000US16011,16011,"Bingham County, Idaho",2731
0500000US16013,16013,"Blaine County, Idaho",914
0500000US16015,16015,"Boise County, Idaho",941
